date,prec,prec_var,flow_obs,flow_sim,pet,tmin,tmean,tmax,srad,vprp
1981-01-01,0.135,0.018,0.326,0.826,3.696,5.513,12.055,18.597,23.145,8.541
1981-01-02,0.403,0.168,0.277,0.596,3.747,6.838,12.678,18.518,19.408,9.292
1981-01-03,0.606,0.374,0.199,0.345,3.218,7.796,12.693,17.591,17.724,9.46
1981-01-04,5.339,22.236,0.169,0.196,3.446,8.472,13.879,19.286,16.641,9.911
1981-01-05,2.632,3.644,0.444,0.153,3.514,8.162,13.029,17.897,18.541,8.987
1981-01-06,1.112,1.021,0.731,0.175,3.371,7.423,12.386,17.348,18.244,8.864
1981-01-07,4.039,16.61,0.627,0.22,2.947,8.132,12.267,16.402,12.827,9.422
1981-01-08,14.69,93.404,0.689,0.262,2.969,8.024,11.564,15.105,12.712,9.903
1981-01-09,6.348,17.747,1.159,0.448,3.429,8.102,12.603,17.103,18.527,9.862
1981-01-10,7.603,26.82,1.263,0.809,4.152,7.622,13.454,19.286,20.504,9.974
1981-01-11,4.084,9.924,1.185,1.121,3.546,7.111,12.717,18.322,17.519,10.162
1981-01-12,8.589,39.009,1.237,1.333,3.37,7.155,12.427,17.699,20.181,9.284
1981-01-13,12.996,109.659,0.925,1.48,2.682,8.065,11.771,15.477,12.879,9.62
1981-01-14,1.712,1.424,1.211,1.655,2.397,7.982,11.952,15.922,12.382,9.767
1981-01-15,1.208,0.819,1.211,1.907,3.369,8.145,12.825,17.505,18.773,9.892
1981-01-16,1.727,1.917,0.952,1.935,4.168,6.647,12.79,18.932,22.747,8.766
1981-01-17,1.2,0.764,0.71,1.731,4.376,6.055,12.292,18.528,22.516,8.826
1981-01-18,2.784,2.661,0.57,1.416,3.844,6.569,12.066,17.563,20.36,8.98
1981-01-19,2.417,2.977,0.48,1.132,3.415,6.22,12.228,18.236,21.838,8.377
1981-01-20,4.274,13.684,0.426,0.907,2.891,7.983,12.917,17.851,17.376,9.342
